Puzzle,Time,Steps
0,3.48925,10468449
1,0.002223,6053
2,0.918302,2684825
3,0.016481,45483
4,0.005656,16445
5,0.390685,1145665
6,0.001226,3289
7,4.36942,12204729
8,0.001701,5937
9,0.000321,643
10,0.039361,115373
11,13.5057,37840871
12,1.04555,3177425
13,0.36084,1078161
14,0.019983,49909
15,0.079606,196521
16,0.003735,11145
17,0.030023,99841
18,2.6943,8029819
19,0.005655,16399
20,0.028494,96245
21,0.007702,26013
22,1.03554,2892451
23,0.639732,1826823
24,1.31534,3782895
25,0.00732,22351
26,31.9383,92701673
27,0.139463,403803
28,0.036978,104681
29,0.218351,580493
30,0.084352,223017
31,0.029024,85833
32,0.41682,1084791
33,0.010287,32755
34,0.114422,350743
35,0.170086,460003
36,0.878277,2375483
37,0.037355,100467
38,0.804135,2115395
39,0.012661,35789
40,2.79965,7565523
41,1.61647,4452287
42,1.79704,5180143
43,0.075338,193403
44,0.006836,20759
45,34.1139,93644717
46,0.018304,62767
47,0.022342,63999
48,0.128027,385591
49,0.012648,34171
50,3.54245,9654883
52,0.43677,1165083
53,0.005312,16917
54,0.247376,718319
55,0.006095,18291
56,0.005002,13793
57,0.012569,38849
58,0.006355,17081
59,0.002817,8565
60,0.134886,376243
61,0.141896,372709
62,0.016744,53347
63,0.002747,7897
64,0.024634,70905
65,17.5977,51314271
66,0.001944,5619
67,0.000602,1589
68,0.107299,318259
69,0.201653,594185
70,0.410759,1177885
71,0.053705,160217
72,0.003985,11541
73,3.66296,9779121
74,0.048866,125249
75,0.165986,482799
76,0.137962,392209
77,0.309857,818315
78,0.757876,2045289
79,0.012597,35297
80,0.032042,96095
81,0.004736,13219
82,0.000299,729
83,0.242317,696669
84,0.078125,209181
85,0.001382,3831
86,0.004987,13207
87,1.43875,3829625
88,3.01627,9007729
89,0.000214,475
90,0.000796,1589
91,0.031388,88483
92,0.001659,4553
93,0.740339,2015415
94,0.103954,275557
95,0.040795,122083
96,1.63167,4593739
97,0.266987,716349
98,0.034329,100023
99,0.053564,151663
100,0.152092,422117
101,0.013533,28615
102,0.038018,103965
103,3.8643,10287261
104,0.023932,68753
106,0.00433,11911
107,1.40138,3741989
108,1.14588,2940049
109,0.011689,36571
110,18.9702,52400541
111,10.0727,27893297
112,0.244857,666779
113,0.150765,442155
114,0.068315,162989
115,0.001247,3161
116,0.019352,54935
117,1.62638,4267007
118,0.065314,179857
119,0.397423,1109301
120,0.016002,39547
121,0.012595,36661
122,0.362561,954437
123,1.20406,3208829
124,0.025463,77613
125,0.005404,14877
126,1.81213,4734919
127,0.133076,375331
128,1.1316,2862465
129,0.00066,1835
130,0.022685,62453
131,0.686831,1817789
132,0.146158,404723
133,0.007198,20147
134,0.005273,13553
135,0.003423,9389
136,0.214829,576353
137,1.70116,4750263
138,0.036341,86141
139,1.08257,2790179
140,0.073019,198751
141,0.182617,413431
142,0.035752,74723
143,0.003751,6619
144,0.150631,333161
145,0.083743,177595
146,0.119238,254013
147,0.02732,72279
148,0.002795,7913
149,0.011425,33729
150,0.804251,1910809
151,0.002451,4671
152,0.0151,37821
153,0.03584,79431
154,0.228568,534627
155,0.004209,11827
156,0.01338,33851
157,0.011537,31457
158,0.068677,181121
159,0.003869,9959
160,0.000742,2039
161,0.011637,23571
162,1.06796,2493517
163,0.007902,21985
164,0.570413,1429119
165,0.064128,153843
166,0.289662,730653
167,0.123621,346999
168,0.034543,84607
169,1.07414,2659817
170,0.001597,4579
171,0.184148,548661
172,0.992145,2414315
173,0.084649,217197
174,0.261964,685569
175,0.005086,15125
176,2.40741,6191519
177,0.122588,306459
178,0.116624,290837
179,0.004998,13463
180,6.87241,17825789
