Puzzle,Time,Steps
0,0.000178,180
1,6.5e-05,81
2,0.00029,484
3,0.000138,263
4,0.00014,262
5,0.000156,302
6,0.000439,870
7,0.000126,227
8,0.001464,3083
9,0.000292,566
10,0.000349,772
11,0.000154,280
12,8.4e-05,142
13,0.000219,431
14,0.00062,1259
15,0.000263,515
16,0.000448,923
17,5.6e-05,91
18,5.1e-05,82
19,6.7e-05,110
20,0.000755,1409
21,0.000142,260
22,9.3e-05,132
23,0.000133,254
24,7.6e-05,124
25,5.6e-05,90
26,0.000182,287
27,0.000119,214
28,0.00018,335
29,0.000187,364
30,0.000165,305
31,0.000518,525
32,0.000103,172
33,0.00035,537
34,0.000115,211
35,0.000213,407
36,0.000132,235
37,0.000633,962
38,0.000242,281
39,8.2e-05,143
40,8.9e-05,163
41,0.000202,365
42,0.000221,408
43,0.000649,1440
44,0.000288,499
45,0.000153,285
46,5.6e-05,91
47,7.6e-05,128
48,0.000434,818
49,9.7e-05,114
50,0.000148,272
51,0.000266,531
52,0.000233,453
53,6.1e-05,96
54,5.1e-05,85
55,0.000373,735
56,0.000325,341
57,5.7e-05,85
58,6.4e-05,103
59,8.1e-05,131
60,0.000437,869
61,0.000122,211
62,0.000145,239
63,0.000233,469
64,5.6e-05,87
65,0.00017,320
66,0.0003,605
67,0.000178,300
68,0.000103,174
69,8e-05,132
70,7.8e-05,135
71,9.1e-05,157
72,0.000121,231
73,0.000152,275
74,6.1e-05,104
75,6.9e-05,87
76,0.000119,179
77,6e-05,99
78,0.000236,457
79,5.2e-05,83
80,0.00011,201
81,0.000271,524
82,0.000199,356
83,9.4e-05,143
84,8.7e-05,146
85,0.000202,290
86,0.000144,272
87,0.000223,459
88,0.00019,381
89,0.000106,194
90,0.000405,872
91,5.5e-05,93
92,0.000111,214
93,6.2e-05,82
94,8.3e-05,143
95,8.5e-05,149
96,0.00041,770
97,0.000454,882
98,7.6e-05,125
99,0.000103,186
100,6.6e-05,114
101,5.3e-05,83
102,0.000146,264
103,0.000361,755
104,7e-05,116
105,0.000146,224
106,5.9e-05,96
107,8.5e-05,148
108,0.000205,361
109,0.000114,94
110,0.000215,224
111,0.000236,432
112,0.000744,1329
113,7.4e-05,122
114,0.000183,346
115,9.5e-05,167
116,0.000222,443
117,0.000316,478
118,0.000424,453
119,5.8e-05,92
120,0.00014,257
121,0.000252,232
122,0.000107,116
123,9.5e-05,95
124,8.5e-05,141
125,0.000148,288
126,0.000627,1215
127,0.00034,638
128,6.6e-05,108
129,0.0001,173
130,0.000743,1359
131,0.000219,416
132,5.6e-05,91
133,0.000936,2041
134,0.000128,141
135,6.8e-05,107
136,9.3e-05,162
137,9.4e-05,166
138,0.000526,1033
139,0.000171,275
140,0.000133,240
141,0.000115,200
142,0.000263,491
143,0.000255,517
144,0.00034,661
145,0.0001,177
146,6.6e-05,109
147,0.000128,226
148,0.0001,173
149,7.6e-05,128
150,0.000432,824
151,0.000335,679
152,0.000218,422
153,0.000178,271
154,0.000108,191
155,0.000196,385
156,9.8e-05,169
157,0.000108,201
158,0.00016,297
159,6.9e-05,123
160,0.000144,208
161,0.000134,245
162,0.000809,1612
163,0.00056,1213
164,6.9e-05,116
165,0.000299,484
166,0.0001,178
167,0.000209,423
168,0.000321,657
169,6.4e-05,105
170,0.000103,185
171,0.000245,472
172,0.000204,412
173,0.000403,829
174,9.5e-05,178
175,0.000149,281
176,0.000545,1125
177,0.000173,302
178,0.000124,181
179,5.6e-05,87
180,0.000919,2012
181,0.000309,598
