Puzzle,Time,Steps
0,0.000592,1660
1,0.003608,11186
2,0.012001,43256
3,0.006551,24602
4,0.001083,2885
5,0.001024,3446
6,0.016555,64384
7,0.043662,158577
8,0.008234,25189
9,0.02362,82961
10,0.00144,4811
11,0.00101,2658
12,0.001257,4354
13,0.002496,8731
14,0.016362,62232
15,0.005181,19819
16,0.001795,5715
17,0.000169,400
18,0.008517,32069
19,0.023706,90204
20,0.094574,324140
21,0.219918,852559
22,0.001569,5568
23,0.001344,4637
24,0.119065,362535
25,0.000275,829
26,0.004253,12454
27,0.019724,63334
28,0.024223,88294
29,0.032908,108027
30,0.004464,15819
31,0.025589,93611
32,0.004238,14942
33,0.008484,30430
34,0.000389,1243
35,0.089,305976
36,0.002011,7334
37,0.006323,21475
38,0.00014,385
39,0.000543,1698
40,0.00211,6965
41,0.006172,24121
42,0.017113,60252
43,0.00078,2313
44,0.000314,990
45,0.000117,317
46,0.001085,3771
47,0.003114,10564
48,0.019357,73766
49,0.018237,61187
50,0.003828,14188
51,0.045489,147358
52,0.027701,105121
53,0.000344,1254
54,0.000516,1257
55,0.00108,2829
56,0.046043,174284
57,0.008964,34806
58,0.002145,6869
59,0.064285,234172
60,0.272251,1112558
61,0.099683,374660
62,0.001194,4437
63,0.006845,24644
64,0.000488,1312
65,0.000328,817
66,0.001459,4600
67,0.001117,3554
68,0.002092,7184
69,0.001904,6951
70,0.014687,56608
71,0.000396,1197
72,0.004864,20666
73,0.000289,942
74,0.090378,331494
75,0.003575,13498
76,0.009842,33732
77,0.004056,14617
78,0.027944,99631
79,0.00515,19734
80,0.001667,5875
81,0.060455,222703
82,0.006731,24977
83,0.03036,116290
84,0.001648,5738
85,0.005668,21857
86,0.00141,4916
87,0.000861,3065
88,0.000842,3067
89,0.000276,919
90,0.001961,7131
91,0.000123,319
92,0.000563,2011
93,0.001596,5340
94,0.042226,153956
95,0.384307,1456320
96,0.00128,4468
97,0.002675,9156
98,0.001175,3928
99,0.019859,73598
100,0.003968,12949
101,0.000153,303
102,0.000829,2899
103,0.131227,475466
104,0.00021,672
105,0.000243,786
106,0.025366,81058
107,0.008194,31113
108,0.028296,105342
109,0.000607,2010
110,0.000133,357
111,0.001549,5828
112,0.153149,534986
113,0.000336,1076
114,0.000247,764
115,0.00558,18941
116,0.018513,63355
117,0.020495,78606
118,0.000396,1311
119,0.004701,17568
120,0.001475,4036
121,0.003697,11910
122,0.014312,54771
123,0.005966,19604
124,0.040904,133942
125,0.001196,4661
126,0.145035,529013
127,0.003422,10659
128,0.024844,86538
129,0.000466,1527
130,0.000256,855
131,0.006671,25063
132,0.001097,3312
133,0.002097,6980
134,0.008583,28485
135,0.002458,8866
136,0.003281,11834
137,8.8e-05,203
138,0.001555,5645
139,0.001243,3743
140,0.202627,785900
141,0.012262,41754
142,0.000171,460
143,0.000161,436
144,0.001366,4378
145,0.00462,17059
146,0.00627,23134
147,0.000648,2037
148,0.002679,9752
149,0.066903,247797
150,0.001128,3064
151,0.004274,14540
152,0.024856,93961
153,0.005325,17809
154,0.001883,6342
155,0.000246,763
156,0.001645,6091
157,0.001503,5236
158,0.000575,2107
159,0.002232,8157
160,0.003979,13316
161,0.001695,5645
162,0.000228,669
163,0.022518,83664
164,0.083868,299403
165,0.025207,98986
166,0.013961,45970
167,0.003958,13379
168,0.013162,42935
169,0.054094,194719
170,0.000322,741
171,0.015141,52488
172,0.015308,54081
173,0.00502,18217
174,0.004091,15067
175,0.000219,693
176,0.000728,2532
177,0.014785,53789
178,0.001678,6285
179,0.003633,12314
180,0.08114,272131
181,0.026667,91392
182,0.004285,16885
183,0.010994,38830
184,0.008392,30480
185,0.005733,20009
186,0.484543,1865554
187,0.236091,856690
188,0.180051,744623
189,0.011786,44911
190,0.00218,7525
191,0.004528,16655
192,0.002662,10110
193,0.142155,544614
194,0.048192,182510
195,0.001875,6535
196,0.00019,572
197,0.244092,909971
198,0.000939,2799
199,0.002533,8876
200,0.022812,85275
201,0.002309,7520
202,0.000909,3133
203,0.000665,2302
204,0.011487,38478
205,0.001141,4100
206,0.002562,9438
207,0.004812,17350
208,0.002685,10479
209,0.002032,7480
210,0.000897,3246
211,0.011823,42546
212,0.042345,156274
213,0.000385,1252
214,0.164531,580212
215,0.003774,13798
216,0.005395,18952
217,0.010648,36204
218,0.001152,3273
219,0.167589,571182
220,0.00229,8601
221,0.132901,498092
222,0.001041,3925
223,0.016778,60180
224,0.001602,5861
225,0.020699,74541
226,0.009299,32591
227,0.003485,11483
228,0.001561,5602
229,0.000449,1380
230,0.000541,1643
231,0.008953,31252
232,0.000794,3104
233,0.000842,2716
234,0.009771,35726
235,0.002805,10372
236,0.001531,5361
237,0.000382,1318
238,0.001586,5365
239,0.000503,1290
240,0.31426,1142461
241,0.519725,2055689
242,0.000189,246
243,0.004004,14116
244,0.000711,2528
245,0.008388,29868
