Puzzle,Time,Steps
0,0.00017,180
1,5.6e-05,81
2,0.000228,517
3,0.000113,259
4,0.00011,300
5,0.000259,580
6,0.000363,870
7,0.000137,407
8,0.000656,2286
9,0.000194,609
10,0.000235,772
11,6e-05,131
12,6.4e-05,163
13,7.2e-05,203
14,0.000394,1351
15,0.000163,516
16,0.00026,903
17,3.8e-05,91
18,5.1e-05,134
19,6.1e-05,114
20,0.000403,1307
21,9.2e-05,262
22,6.5e-05,126
23,0.000109,259
24,4.1e-05,99
25,4.6e-05,124
26,9.6e-05,288
27,8.9e-05,217
28,9.6e-05,275
29,0.000119,371
30,0.000103,305
31,0.000154,496
32,9.3e-05,283
33,0.0002,561
34,7.4e-05,215
35,0.000462,1560
36,0.000166,526
37,6.4e-05,125
38,9e-05,245
39,5.4e-05,143
40,6.3e-05,167
41,0.000127,365
42,0.000141,383
43,0.000447,1440
44,0.000143,447
45,0.00012,283
46,3.8e-05,91
47,0.000172,328
48,0.000262,815
49,5.1e-05,131
50,9.5e-05,268
51,0.000171,538
52,0.000177,492
53,4.1e-05,98
54,3.5e-05,82
55,0.000407,1464
56,0.000117,343
57,3.5e-05,85
58,5.7e-05,108
59,6.9e-05,135
60,0.000268,897
61,0.000159,481
62,0.00011,246
63,0.000196,497
64,0.000107,302
65,0.000108,320
66,0.000188,600
67,8.7e-05,237
68,6.7e-05,174
69,5.3e-05,132
70,5.7e-05,113
71,5.8e-05,149
72,0.000149,486
73,5.3e-05,121
74,4.2e-05,104
75,3.7e-05,90
76,9.2e-05,257
77,5.6e-05,148
78,0.000221,707
79,3.6e-05,83
80,0.00012,369
81,0.000149,394
82,0.00011,329
83,0.000117,354
84,0.000113,248
85,4.4e-05,104
86,9.1e-05,261
87,0.000133,422
88,0.000117,369
89,6.8e-05,194
90,0.000154,499
91,3.8e-05,93
92,6.9e-05,211
93,3.5e-05,81
94,5.5e-05,143
95,5.9e-05,152
96,0.000256,770
97,0.000274,882
98,0.000533,1238
99,6.9e-05,186
100,3.8e-05,94
101,4.6e-05,83
102,9.9e-05,276
103,7.1e-05,199
104,4.5e-05,113
105,8.8e-05,235
106,4e-05,100
107,5.5e-05,143
108,4.9e-05,117
109,3.7e-05,82
110,4.2e-05,104
111,8e-05,222
112,0.000314,1040
113,5e-05,123
114,3.8e-05,88
115,8.1e-05,166
116,0.000137,443
117,0.000164,505
118,8.4e-05,237
119,5.1e-05,97
120,0.000121,254
121,0.000105,252
122,4.9e-05,118
123,5.7e-05,107
124,7.1e-05,143
125,9.7e-05,286
126,0.000414,1208
127,0.000269,648
128,5.9e-05,115
129,8.8e-05,185
130,0.000497,1338
131,0.000184,433
132,4.1e-05,86
133,0.000665,1939
134,0.000119,249
135,5.8e-05,146
136,7.8e-05,162
137,6.5e-05,168
138,0.000333,1036
139,0.000107,313
140,0.00011,257
141,0.000129,371
142,0.00016,482
143,0.000185,610
144,3.9e-05,93
145,6.5e-05,168
146,4.1e-05,97
147,0.000102,297
148,6.9e-05,179
149,5.2e-05,134
150,0.000344,1194
151,0.00015,461
152,6.6e-05,177
153,0.000102,277
154,7.2e-05,190
155,0.000125,387
156,8.2e-05,230
157,7.1e-05,199
158,4.3e-05,105
159,5.9e-05,123
160,7.2e-05,208
161,9e-05,253
162,0.000394,1252
163,0.000404,1045
164,6.1e-05,120
165,0.000306,977
166,6.3e-05,170
167,0.000134,436
168,0.000209,658
169,4.1e-05,97
170,8.7e-05,186
171,0.000123,293
172,0.000165,405
173,0.000267,866
174,7e-05,202
175,0.000121,279
176,0.00019,444
177,0.000103,227
178,9.7e-05,262
179,5.5e-05,142
180,0.000704,2001
181,8.9e-05,257
182,0.00013,291
183,8.2e-05,172
184,0.000124,282
185,0.000297,752
186,0.000103,225
187,5.8e-05,115
188,0.000107,228
189,5.2e-05,124
190,0.000416,979
191,7.9e-05,131
192,4.8e-05,89
193,0.000161,456
194,6.7e-05,127
195,0.000148,345
196,3.8e-05,89
197,4.5e-05,81
198,0.000145,180
199,7.7e-05,212
200,0.000169,458
201,7.4e-05,116
202,0.00021,649
203,0.000156,498
204,0.000115,325
205,0.000111,353
206,3.5e-05,85
207,8.2e-05,228
208,0.000126,364
209,5.3e-05,140
210,7.5e-05,195
211,0.00011,320
212,0.000147,434
213,0.000147,478
214,0.000619,1951
215,6.5e-05,175
216,0.000149,409
217,6.6e-05,151
218,0.000149,447
219,0.000126,395
220,5.5e-05,150
221,7.4e-05,206
222,0.000101,303
223,5.1e-05,94
224,4.9e-05,90
225,0.00015,465
226,7.8e-05,229
227,6.9e-05,182
228,0.000151,350
229,0.000113,270
230,6.9e-05,101
231,6.1e-05,160
232,0.000298,863
