Puzzle,Time,Steps
0,0.000193,111
1,9.4e-05,143
2,0.000591,1494
3,0.000123,262
4,0.000294,711
5,0.001996,5263
6,0.000189,562
7,5.9e-05,118
8,0.0006,1489
9,0.000279,936
10,0.001124,3293
11,0.000334,1138
12,8.3e-05,212
13,0.000505,1778
14,0.00011,314
15,0.000123,248
16,0.001308,4185
17,0.000142,416
18,0.000164,496
19,9.2e-05,241
20,0.000163,485
21,0.000248,788
22,0.000561,1777
23,6.6e-05,157
24,0.000248,735
25,0.001489,5154
26,6.5e-05,166
27,0.000126,355
28,0.000139,421
29,0.000336,883
30,0.000272,704
31,0.0003,866
32,0.000168,509
33,0.00035,1152
34,0.000153,360
35,0.000206,505
36,0.001366,4278
37,5.1e-05,116
38,9.1e-05,236
39,7.3e-05,186
40,0.000116,332
41,0.000104,274
42,0.00054,1968
43,0.000136,291
44,0.000225,658
45,0.000633,1789
46,0.00042,1361
47,0.000191,591
48,0.000817,2791
49,7e-05,169
50,6.7e-05,172
51,0.000266,796
52,0.000137,395
53,8.2e-05,166
54,0.000122,264
55,0.000451,1183
56,0.001757,6364
57,0.000213,575
58,0.000663,1685
59,0.000684,1797
60,0.000173,539
61,0.001699,6027
62,4.2e-05,91
63,8.2e-05,225
64,0.000985,3410
65,0.00665,27093
66,0.00018,519
67,0.000792,2842
68,0.000641,2175
69,0.000121,310
70,0.00136,4932
71,0.000545,1401
72,0.000715,1672
73,0.000152,425
74,0.000926,3255
75,0.001466,3936
76,0.000149,336
77,0.000432,1447
78,0.0004,1391
79,0.000348,1056
80,0.000311,987
81,0.000129,353
82,0.000218,670
83,0.000105,278
84,6e-05,140
85,0.000152,433
86,6.5e-05,157
87,0.000343,1132
88,0.000105,293
89,0.000166,471
90,0.000211,653
91,0.000544,1516
92,0.000246,595
93,0.00066,2154
94,0.000217,617
95,0.000759,2535
96,0.000115,246
97,7e-05,126
98,0.000154,331
99,9.5e-05,199
100,6.1e-05,109
101,0.000298,773
102,0.000474,1149
103,0.00017,325
104,9.5e-05,213
105,8.7e-05,196
106,0.003615,12501
107,0.00038,1027
108,0.000108,212
109,0.000201,497
110,8.2e-05,130
111,0.001666,4836
112,0.000401,926
113,8.5e-05,163
114,4.8e-05,104
115,0.00021,655
116,0.000406,1094
117,0.000398,1013
118,0.000793,2387
119,0.000201,643
120,0.000326,825
121,0.000416,1370
122,0.000936,2523
123,9.4e-05,234
124,0.000255,771
125,6.5e-05,157
126,0.000404,1402
127,6.3e-05,157
128,0.000257,886
129,8.3e-05,173
130,7.9e-05,219
131,0.000812,3135
132,0.000279,890
133,0.00015,447
134,0.000476,1502
135,0.000533,1805
136,9.1e-05,252
137,0.000121,333
138,7.1e-05,172
139,0.000248,736
140,0.000217,597
141,0.00039,1259
142,0.000276,653
143,0.000165,431
144,0.000125,358
145,0.000226,710
146,0.000859,2966
147,0.000355,1225
148,0.000127,355
149,7.4e-05,173
150,0.001045,3858
151,0.000264,831
152,0.000842,2383
153,0.001162,3700
154,0.000219,649
155,8.4e-05,208
156,8.4e-05,223
157,0.000117,313
158,0.000231,679
159,0.000144,432
160,0.000276,887
161,0.000187,552
162,0.002532,9115
163,0.0003,763
164,8.4e-05,167
165,0.001172,3378
166,0.002418,8435
167,6.6e-05,154
168,0.000509,1711
169,0.000287,976
170,0.00032,1097
171,0.000126,375
172,0.001662,6423
173,0.00035,1094
174,0.000105,202
175,0.000236,544
176,0.000714,2421
177,0.00051,1318
178,0.000182,561
179,0.000933,3278
180,0.000576,1842
181,0.00013,273
182,0.000171,409
183,0.000156,352
184,7.2e-05,125
185,6.7e-05,122
186,0.000229,479
187,0.0046,14893
188,0.000565,1415
189,0.001418,4117
190,0.000108,228
191,0.000254,536
192,9.1e-05,172
193,0.001214,3367
194,4.9e-05,107
195,0.000227,737
196,0.000102,294
197,4.7e-05,101
198,9.7e-05,254
199,0.000281,799
200,0.00021,666
201,0.000948,2681
202,0.000643,1677
203,0.000517,1471
204,0.000428,1098
205,0.000819,2404
206,9.4e-05,183
207,0.000132,304
208,0.00073,2022
209,0.000475,1296
210,0.000126,265
211,0.00114,3927
212,0.000214,643
213,0.00024,660
214,7.7e-05,140
215,0.001223,3501
216,0.000155,339
217,9.1e-05,174
218,0.000205,637
219,6.3e-05,110
220,0.000293,719
221,0.001113,4257
222,0.00052,1831
223,0.000139,390
224,0.000349,1151
225,0.00232,8416
226,0.000274,916
227,0.001047,3473
228,0.000139,417
229,0.003329,12280
230,9.4e-05,237
231,0.000197,436
232,0.000325,741
233,0.00038,987
234,7.8e-05,142
235,0.000327,1081
236,0.00018,559
237,0.000378,1218
238,0.000149,447
239,4.6e-05,97
240,0.001103,3910
241,9.3e-05,244
242,0.00012,337
243,0.001053,3440
244,0.00013,410
245,0.000742,2671
246,9.4e-05,189
247,0.00312,11234
248,0.000345,1039
249,0.00065,2354
250,0.000126,371
251,0.000828,2996
252,0.000852,2842
253,0.000484,1509
254,0.000217,676
255,0.000194,547
256,9.6e-05,246
257,0.000135,391
258,0.000156,365
259,8.4e-05,156
260,0.000763,2056
261,0.000124,259
262,0.000461,1490
263,0.000343,1094
264,0.000331,1141
265,0.000325,1049
266,0.00019,461
267,7e-05,133
268,0.000215,463
269,0.001301,3761
270,0.000284,908
271,0.001255,3728
272,0.003167,11605
273,0.001256,3966
274,0.00013,344
275,9.2e-05,230
276,0.000166,484
277,0.000579,1977
278,0.000351,1199
279,7.3e-05,178
280,0.000202,634
281,5.5e-05,131
282,0.000149,429
283,0.000117,237
284,8.3e-05,156
285,0.000243,587
286,0.001033,3167
287,0.000132,398
288,0.000796,2918
289,0.000241,663
290,0.00027,853
291,8.9e-05,226
292,5.9e-05,128
293,8.7e-05,170
294,0.000159,516
295,0.000105,294
296,0.000676,1842
297,0.000127,272
298,0.000393,1211
299,0.000424,1292
300,6.4e-05,144
301,8.3e-05,220
302,7.2e-05,178
303,0.00014,419
304,6e-05,148
305,0.000416,1377
306,0.000516,1321
307,0.000205,521
308,0.000163,473
309,0.000115,249
310,0.001593,5154
311,0.000687,2233
312,0.001195,3412
313,0.000155,488
314,0.000177,536
315,7.7e-05,205
316,0.001227,4294
317,0.000239,545
318,0.000898,3315
319,0.001587,5812
320,0.000147,429
321,0.000175,456
322,0.000773,1961
323,0.002088,6374
324,0.000914,2426
325,0.000166,359
326,0.000683,1856
327,0.000158,334
328,0.000824,2060
329,0.000383,1001
330,0.000246,605
331,0.003963,15046
332,0.000494,1793
333,0.00018,542
334,0.000732,2410
335,9.1e-05,244
336,0.000203,535
337,0.000804,2848
338,0.000254,775
339,0.000209,699
340,8.3e-05,150
341,0.000215,522
342,0.000276,673
343,5.8e-05,96
344,0.003547,11993
345,0.000687,2139
346,0.000302,655
347,0.000222,508
348,0.000146,434
349,0.000103,223
350,0.001344,4083
351,6.3e-05,140
352,0.000228,599
353,8.8e-05,221
354,0.000776,2649
355,0.000543,1852
356,9e-05,237
357,0.000118,311
358,0.000153,464
359,0.000109,226
360,0.000267,877
361,0.000422,1487
362,8.9e-05,234
363,0.001418,5041
364,8.4e-05,165
365,6.4e-05,155
366,0.000381,1282
367,0.001129,3092
368,0.000388,1175
369,0.00056,1775
370,0.000126,325
371,8.1e-05,210
372,5.2e-05,97
373,9.9e-05,205
374,0.000293,825
375,0.000442,1458
376,8.1e-05,163
377,0.000178,527
378,0.000271,904
379,0.00945,33115
380,0.000527,1788
381,0.000435,1340
382,5.2e-05,111
383,0.000489,1293
384,7.7e-05,143
385,0.002567,8268
386,0.000681,2218
387,7.2e-05,177
388,0.001032,3695
389,0.000144,306
390,0.000248,632
391,0.000149,312
392,0.00029,765
393,0.000258,573
394,0.000103,289
395,0.000352,1152
396,0.000752,2672
397,0.000247,738
398,7.5e-05,182
399,0.000142,418
400,0.000167,460
401,0.000676,1757
402,4.3e-05,90
403,6.7e-05,153
404,0.000125,356
405,0.000492,1475
406,0.000184,534
407,0.000299,929
408,0.000168,508
409,8.7e-05,187
410,0.000196,627
411,5.5e-05,121
412,0.001826,6660
413,0.000527,1616
414,8.9e-05,169
415,0.000377,986
416,5.7e-05,132
417,0.000615,1710
418,0.000479,1656
419,7.9e-05,145
420,0.000213,739
421,0.002497,7703
422,0.000728,1904
423,0.000803,2758
424,0.000143,419
425,0.000212,386
426,0.000253,574
427,0.001026,3203
428,0.001893,7139
429,0.000142,452
430,7.3e-05,180
431,0.000105,300
432,0.000145,392
433,9.9e-05,212
434,0.000135,360
435,4.4e-05,103
436,0.00012,349
437,0.000171,593
438,0.000728,2886
439,0.000404,1374
440,0.000274,858
441,0.000294,901
442,0.000213,710
443,7.7e-05,197
444,0.00051,1745
445,0.000506,1585
446,0.000293,1037
447,0.000763,2038
448,0.000355,953
449,6.7e-05,153
450,0.000159,436
451,0.000326,957
452,6.9e-05,158
453,0.000548,1921
454,0.000116,303
455,0.00035,870
456,0.000202,473
457,0.000117,342
458,0.000321,1090
459,0.00052,1409
460,0.000268,648
461,0.000344,850
462,5.1e-05,112
463,0.000474,1570
464,0.000988,3568
465,0.000364,1286
466,4.8e-05,106
467,0.000295,986
468,0.000213,657
469,0.00014,336
470,0.000108,290
471,0.000162,501
472,7e-05,168
473,0.00069,2282
474,0.000238,797
475,0.000341,1190
476,0.019756,77682
477,0.000185,569
478,0.000126,365
479,0.000234,580
480,7.8e-05,191
481,0.00014,414
482,0.000469,1505
483,0.000189,568
484,0.001763,5910
485,5.4e-05,119
486,0.000335,774
487,9e-05,175
488,7.2e-05,116
489,8.4e-05,156
490,0.001649,4759
491,7.8e-05,213
492,0.000502,1675
493,0.000271,865
494,0.00052,1690
495,0.000185,599
496,0.000416,1051
497,0.000129,294
498,0.000337,1005
499,0.000375,1229
500,0.000147,425
501,8.4e-05,124
502,0.000128,352
503,0.00064,2131
504,0.000383,1244
505,0.000822,2812
506,0.00032,785
507,0.001353,5148
508,0.000252,846
509,0.000139,396
510,0.001167,4393
511,0.000848,3225
512,6.4e-05,158
513,0.000405,1036
514,7.6e-05,134
515,0.000177,414
516,0.007755,28747
517,0.000231,749
518,0.000583,1890
519,0.001296,4457
520,0.00074,2612
521,0.000277,838
522,0.000261,727
523,7e-05,81
524,0.00012,276
525,0.007302,24753
526,0.000302,848
527,0.000171,488
528,0.00023,629
529,6.4e-05,160
530,0.00011,327
531,0.000182,535
532,0.00033,870
533,0.000879,2429
534,0.000753,2073
535,0.001192,4516
536,0.000423,1409
537,0.000218,716
538,0.00198,6880
539,0.00042,1333
540,0.000189,598
541,0.000973,2907
542,0.000864,2614
543,0.001207,4259
544,0.000408,1446
545,0.000328,1016
546,0.000265,767
547,0.000282,732
548,0.000562,1542
549,0.000138,243
550,0.000284,748
551,0.001699,5129
552,0.000134,417
553,0.000132,367
554,0.000418,1320
555,0.000451,1540
556,0.001072,3805
557,0.000125,198
558,0.00017,406
559,9.5e-05,207
560,5.6e-05,129
561,9.3e-05,245
562,0.000801,2869
563,0.000111,261
564,9.6e-05,262
565,8.3e-05,212
566,5.9e-05,134
567,0.000823,3045
568,9e-05,249
569,8.4e-05,208
570,9.3e-05,187
571,0.000154,327
572,6.4e-05,149
573,0.000575,2123
574,0.000102,279
575,0.000197,620
576,0.000665,2535
577,0.00039,1308
578,0.000434,1272
579,0.000129,372
580,0.000354,1135
581,0.000109,318
582,0.000309,1094
583,6.7e-05,169
584,0.000181,505
585,0.000301,985
586,0.001144,4307
587,0.000566,1844
588,0.000723,2544
589,7.2e-05,170
590,0.000227,671
591,0.014,50356
592,0.000144,399
593,0.001221,3540
594,0.000117,311
595,0.000297,966
596,0.000271,942
597,0.00022,734
598,0.000734,2529
599,0.000584,1931
600,0.000332,1078
601,0.000568,1503
602,0.000101,196
603,0.000317,740
604,0.00012,248
605,0.000596,1821
606,0.090142,338402
607,0.000106,207
608,0.000197,466
609,0.000182,425
610,0.00156,3957
611,0.000246,597
612,0.000102,211
613,0.000137,309
614,0.001875,5299
615,0.000563,1512
616,0.000323,823
617,0.000467,1271
618,0.000553,1665
619,0.000525,1371
620,0.000249,625
621,0.000617,1473
622,0.000305,729
623,0.00019,609
624,0.000129,358
625,0.000166,508
626,0.00014,445
627,0.000374,1212
628,0.000221,646
629,0.000328,1053
630,7.7e-05,206
631,7.8e-05,192
632,0.000237,569
633,0.000489,1268
634,7.2e-05,123
635,0.000516,1435
636,0.000164,454
637,6.9e-05,178
638,0.000158,473
639,0.000439,1076
640,0.000248,800
641,0.002309,8227
642,0.000219,689
643,9.2e-05,245
644,0.000184,550
645,0.000138,405
646,0.002494,9128
647,0.00021,554
648,0.000306,1052
649,0.000637,2084
650,0.000166,472
651,0.001215,4183
652,0.000103,262
653,6.6e-05,160
654,0.00012,330
655,0.001112,3786
656,0.0002,617
657,0.000179,491
658,0.000474,1692
659,0.004327,12812
660,0.000103,270
661,0.000544,1724
662,0.000614,1597
663,6.3e-05,150
664,0.000643,2107
665,0.000252,793
666,0.000127,315
667,9.8e-05,256
668,0.001304,4821
669,0.000154,350
670,0.000531,1474
671,0.001207,3811
672,5.4e-05,115
673,8e-05,199
674,5.3e-05,122
675,0.000237,730
676,0.001034,4108
677,5.2e-05,116
678,0.000292,927
679,0.000454,1081
680,6.1e-05,103
681,0.003509,12373
682,0.000103,210
683,0.000104,214
684,0.000187,371
685,0.000457,1223
686,0.000309,771
687,0.000333,941
688,0.000282,857
689,0.00014,322
690,0.000696,2310
691,0.006714,25561
692,0.004126,14452
693,0.000108,290
694,4.4e-05,89
695,0.000562,2036
696,0.003755,13644
697,0.0001,264
698,0.000129,266
699,0.000148,331
700,9.7e-05,239
701,0.000413,1343
702,0.003956,12212
703,8.5e-05,209
704,0.000372,1042
705,0.004385,14517
706,0.001009,2464
707,0.000126,268
708,0.000173,452
709,0.000307,1051
710,0.000116,273
711,6.7e-05,171
712,0.000272,629
713,0.006462,22392
714,8.2e-05,161
715,0.000193,496
716,0.000148,283
717,0.000557,1522
718,0.000228,557
719,9.9e-05,237
720,0.000132,380
721,0.005222,19188
722,0.000193,573
723,5.5e-05,116
724,0.000857,2604
725,0.000537,1500
726,0.006698,23588
727,0.00078,2548
728,0.000417,1133
729,6.6e-05,166
730,5.7e-05,126
731,7.8e-05,187
732,0.000135,419
